ts,platform,ms_played,conn_country,ip_addr,master_metadata_track_name,master_metadata_album_artist_name,master_metadata_album_album_name,spotify_track_uri,episode_name,episode_show_name,spotify_episode_uri,audiobook_title,audiobook_uri,audiobook_chapter_uri,audiobook_chapter_title,reason_start,reason_end,shuffle,skipped,offline,offline_timestamp,incognito_mode,minutos_ouvidos
2025-08-13 14:13:22+00:00,ios,183175,BR,2804:388:5068:c998:303c:e562:e2ba:130d,Rockstar Made,Playboi Carti,Whole Lotta Red,spotify:track:3cWmqvMwVQKDigWLSZ3w9h,,,,,,,,trackdone,endplay,True,True,False,1755016854.0,False,3.0529166666666665
2025-08-13 14:15:36+00:00,ios,135122,BR,2804:388:5068:c998:303c:e562:e2ba:130d,ILoveUIHateU,Playboi Carti,Whole Lotta Red,spotify:track:1BpKJw4RZxaFB88NE5uxXf,,,,,,,,clickrow,trackdone,True,False,False,1755094402.0,False,2.2520333333333333
2025-08-13 14:19:56+00:00,ios,258842,BR,2804:388:5068:c998:303c:e562:e2ba:130d,CIRCUS MAXIMUS (feat. The Weeknd & Swae Lee),Travis Scott,UTOPIA,spotify:track:4GL9GMX9t7Qkprvf1YighZ,,,,,,,,trackdone,trackdone,True,False,False,1755094536.0,False,4.314033333333334
2025-08-13 14:23:03+00:00,ios,186776,BR,2804:388:5068:c998:303c:e562:e2ba:130d,King Vamp,Playboi Carti,Whole Lotta Red,spotify:track:2iqHcRoOfLl1fXCf1bGO0J,,,,,,,,trackdone,trackdone,True,False,False,1755094796.0,False,3.1129333333333333
2025-08-13 14:26:23+00:00,ios,199796,BR,2804:388:5068:c998:303c:e562:e2ba:130d,Hey Mama!,EXO-CBX,Hey Mama!– The 1st Mini Album,spotify:track:20bWnhRylVPnTpfsuIzorG,,,,,,,,trackdone,trackdone,True,False,False,1755094983.0,False,3.3299333333333334
2025-08-13 14:29:07+00:00,ios,164000,BR,2804:388:5068:c998:303c:e562:e2ba:130d,777-666,Matuê,Máquina do Tempo,spotify:track:3sGcETRMuAgcPgjDpIkgMn,,,,,,,,trackdone,trackdone,True,False,False,1755095183.0,False,2.7333333333333334
2025-08-13 14:32:39+00:00,ios,209812,BR,2804:388:5068:c998:303c:e562:e2ba:130d,Homecoming,Lil Uzi Vert,Eternal Atake,spotify:track:6vxU64pcIuQ38O015Zy4qj,,,,,,,,trackdone,fwdbtn,True,True,False,1755095347.0,False,3.4968666666666666
2025-08-13 14:36:46+00:00,ios,247800,BR,2804:388:5068:c998:303c:e562:e2ba:130d,Swimming Pools (Drank),Kendrick Lamar,Swimming Pools (Drank),spotify:track:6REbwUNlppTfcnV4d4ZoZi,,,,,,,,fwdbtn,trackdone,True,False,False,1755095559.0,False,4.13
2025-08-13 14:36:52+00:00,ios,4640,BR,2804:388:5068:c998:303c:e562:e2ba:130d,UN Village,BAEKHYUN,City Lights - The 1st Mini Album,spotify:track:0WSTInLqMrT9po0LAHpZCJ,,,,,,,,trackdone,fwdbtn,True,True,False,1755095806.0,False,0.07733333333333334
2025-08-13 14:40:40+00:00,ios,229146,BR,2804:388:5068:c998:303c:e562:e2ba:130d,Bound 2,Kanye West,Yeezus,spotify:track:3sNVsP50132BTNlImLx70i,,,,,,,,fwdbtn,trackdone,True,False,False,1755095812.0,False,3.8191
2025-08-13 14:42:21+00:00,ios,92567,BR,2804:14d:5ce3:5574:54db:aaf0:4b40:8912,Monster,EXO,EX'ACT,spotify:track:7GbUWl6qLW1gdngbEV2WDJ,,,,,,,,trackdone,logout,True,False,False,1755096040.0,False,1.5427833333333334
